State,Action,QValue
16592,6,-1
16592,7,-1
16594,1,-1
16594,2,-1
16594,6,-1
16594,8,-1
16600,1,-1
16600,2,-1
16600,7,-1
16600,8,-1
16622,2,10
16622,4,0
16628,2,10
16628,4,0
16664,4,-0.999726
16664,7,-0.999726
16666,4,-1
16670,4,-0.999984
16670,6,-0.999977
16674,4,-1
16678,4,-0.999808
16678,8,-0.999808
16680,4,0
16680,7,0
16700,2,-1
16702,2,-1
16702,8,-1
16708,2,-1
16708,8,-1
16718,7,0
16724,6,-0.999954
16728,5,0
16734,5,0
16734,7,0
16744,7,-1
16750,6,-1
16750,8,-1
16752,7,-1
16892,4,-1
16892,6,-1
16898,4,-1
16900,4,-1
16916,4,-0.3
16916,6,10
16918,4,-1
16918,6,-1
16924,4,-1
16970,6,-1
16972,6,-1
16996,6,-0.3
17054,1,-1
17054,3,-1
17054,5,-1
17054,6,-1
17060,1,-1
17060,3,-1
17060,5,-1
17060,7,-1
17062,1,-1
17062,3,-1
17062,5,-1
17062,8,-1
17078,1,-0.3
17078,3,7
17078,7,0
17080,1,-1
17080,3,-1
17080,6,-1
17080,8,-1
17086,1,-1
17086,3,-1
17086,7,-1
17086,8,-1
17108,4,-1
17114,4,-1
17116,4,-1
17116,8,-1
17126,3,-0.999609
17126,4,-0.999441
17138,4,-1
17142,4,-0.999977
17142,5,-0.999968
17150,3,0
17150,4,0
17150,7,0
17152,3,-1
17152,4,-1
17156,4,-0.3
17156,6,10
17160,4,-1
17164,4,-1
17164,8,-1
17166,4,-0.999441
17166,7,-0.999202
17188,8,-1
17194,8,-1
17204,3,-1
17204,7,-1
17206,3,-1
17210,6,-1
17214,5,-1
17218,8,-1
17220,5,-1
17220,7,-1
17230,3,-1
17230,7,-1
17236,6,-1
17236,8,-1
17238,7,-0.3
17294,1,-1
17294,5,-1
17294,6,-1
17294,7,-1
17296,1,-1
17296,5,-1
17296,6,-1
17296,8,-1
17302,1,-0.3
17302,5,7
17302,7,0
17320,1,-0.3
17320,6,-0.3
17320,8,7
17348,4,-1
17350,4,-1
17350,8,-1
17356,4,-0.3
17356,8,10
17366,4,-0.999808
17366,7,-0.999808
17368,4,-1
17372,4,-1
17372,6,-1
17376,4,-1
17376,5,-1
17380,4,-0.3
17380,8,10
17382,4,0
17382,5,0
17382,7,0
17392,4,-0.3
17392,7,10
17398,4,0
17398,6,0
17398,8,0
17400,4,-0.3
17400,7,10
17428,8,0
17446,7,-0.51
17452,6,-1
