Game,TotalReward,WinRate
1426,6,0.69
1427,-108,0.69
1428,-49,0.69
1429,-3,0.69
1430,-39,0.69
1431,-143,0.69
1432,6,0.69
1433,4,0.69
1434,-40,0.69
1435,3,0.69
1436,6,0.69
1437,-139,0.69
1438,-24,0.69
1439,-16,0.69
1440,-54,0.69
1441,-10,0.69
1442,-50,0.69
1443,-52,0.69
1444,-12,0.69
1445,-27,0.69
1446,6,0.69
1447,-24,0.69
1448,-123,0.69
1449,-6,0.69
1450,-28,0.69
1451,-10,0.69
1452,-27,0.69
1453,-70,0.69
1454,-70,0.69
1455,-4,0.69
1456,-1,0.69
1457,-9,0.69
1458,-42,0.69
1459,-48,0.69
1460,6,0.69
1461,-9,0.69
1462,-56,0.69
1463,-77,0.69
1464,-90,0.69
1465,-76,0.69
1466,6,0.69
1467,6,0.69
1468,-6,0.69
1469,6,0.69
1470,-72,0.69
1471,-3,0.69
1472,-3,0.69
1473,5,0.69
1474,6,0.69
1475,-15,0.69
1476,4,0.69
1477,-16,0.69
1478,-24,0.69
1479,-14,0.69
1480,-3,0.69
1481,-86,0.69
1482,-11,0.69
1483,-40,0.69
1484,-17,0.69
1485,-18,0.69
1486,-68,0.69
1487,-43,0.69
1488,-7,0.69
1489,6,0.69
1490,-54,0.69
1491,-3,0.69
1492,-137,0.69
1493,6,0.69
1494,-7,0.69
1495,-39,0.69
1496,-9,0.69
1497,-60,0.69
1498,-53,0.69
1499,6,0.69
1500,3,0.69
1501,3,0.62
1502,6,0.62
1503,-107,0.62
1504,-67,0.62
1505,-24,0.62
1506,-24,0.62
1507,6,0.62
1508,6,0.62
1509,-72,0.62
1510,2,0.62
1511,-15,0.62
1512,-55,0.62
1513,6,0.62
1514,-66,0.62
1515,6,0.62
1516,-58,0.62
1517,6,0.62
1518,-34,0.62
1519,-87,0.62
1520,-23,0.62
1521,6,0.62
1522,-7,0.62
1523,-47,0.62
1524,3,0.62
1525,6,0.62
1526,-41,0.62
1527,-32,0.62
1528,-16,0.62
1529,6,0.62
1530,-31,0.62
1531,6,0.62
1532,6,0.62
1533,-21,0.62
1534,-68,0.62
1535,-41,0.62
1536,-68,0.62
1537,-116,0.62
1538,-38,0.62
